ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Product_category,Length_cm,Width_cm,Height_cm,Fragile,Liquid_Leak_Prone,Perishable,Shipping_distance,Stacking_pressure,Delivery_urgency,Budget_level,Eco_preference,Material_constraint,Return_risk,recommended_packaging
864,F,Ship,2,3,188,3,medium,F,51,3191,1,electronics,12,35,2,1,1,1,international,1,standard,medium,low_cost,no_plastic,0,Leak-proof Compostable Container
865,D,Ship,3,4,187,2,high,M,8,3725,1,books,25,45,30,0,0,1,local,0,standard,medium,max_sustainability,no_plastic,1,Insulated Compostable Food Pack
866,F,Ship,6,1,168,5,high,F,65,1601,1,electronics,48,30,12,0,1,0,international,0,express,medium,low_cost,no_plastic,0,Leak-proof Compostable Container
867,A,Ship,4,1,199,2,low,F,46,3371,1,books,33,44,15,0,1,0,local,1,express,low,max_sustainability,no_plastic,0,Leak-proof Compostable Container
868,B,Ship,4,3,261,3,low,F,10,2802,1,food,42,31,10,0,1,1,international,0,express,medium,low_cost,no_restrictions,0,Leak-proof Compostable Container
869,C,Ship,3,1,218,3,low,M,4,2304,1,books,36,10,12,1,0,0,local,0,express,low,balanced,only_recyclable,0,100% Recyclable Cardboard Box
870,F,Ship,3,1,196,3,low,F,64,2911,1,food,46,36,17,1,1,1,domestic,0,standard,medium,low_cost,no_plastic,0,Leak-proof Compostable Container
871,D,Ship,4,5,147,3,medium,F,46,1469,1,glass_items,39,43,36,1,0,1,domestic,1,express,medium,balanced,no_restrictions,0,Insulated Compostable Food Pack
872,F,Ship,4,2,208,3,high,M,17,2777,1,food,51,49,35,0,0,1,local,0,standard,low,balanced,compostable_only,0,Insulated Compostable Food Pack
873,A,Ship,3,1,178,5,low,F,15,1242,1,glass_items,9,6,39,1,1,1,local,1,standard,high,low_cost,only_recyclable,0,Leak-proof Compostable Container
874,B,Ship,4,4,197,3,medium,M,20,3080,1,electronics,16,35,39,0,0,0,local,1,standard,low,balanced,no_plastic,0,Corrugated Box + Molded Pulp
875,C,Ship,2,4,206,2,low,F,30,3955,1,electronics,52,37,27,0,1,1,domestic,0,express,high,max_sustainability,compostable_only,0,Leak-proof Compostable Container
876,F,Ship,4,1,222,3,medium,M,45,3158,1,cosmetics,39,7,27,1,1,0,domestic,1,standard,high,balanced,only_recyclable,1,Leak-proof Compostable Container
877,D,Ship,3,3,247,2,medium,M,55,3461,1,electronics,12,49,23,0,1,0,local,1,standard,medium,balanced,compostable_only,0,Leak-proof Compostable Container
878,F,Ship,4,1,222,3,medium,M,25,2582,1,glass_items,52,38,31,1,1,1,international,1,standard,medium,max_sustainability,no_restrictions,0,Leak-proof Compostable Container
879,A,Ship,6,1,205,5,low,M,14,3213,1,glass_items,39,29,8,0,1,1,international,1,express,low,max_sustainability,only_recyclable,1,Leak-proof Compostable Container
880,B,Ship,5,2,244,3,low,M,8,3571,1,glass_items,8,16,2,1,1,0,domestic,1,standard,low,balanced,compostable_only,1,Leak-proof Compostable Container
881,C,Ship,2,4,194,6,medium,F,39,3770,1,cosmetics,10,15,32,0,1,1,domestic,1,express,medium,balanced,no_restrictions,1,Leak-proof Compostable Container
882,F,Ship,4,5,190,2,low,M,36,3548,1,books,52,24,29,1,0,1,domestic,0,express,high,max_sustainability,no_restrictions,1,Insulated Compostable Food Pack
883,D,Ship,3,4,169,2,low,M,17,1242,1,electronics,26,39,3,1,1,1,domestic,1,express,medium,balanced,no_restrictions,1,Leak-proof Compostable Container
884,F,Ship,3,2,251,2,low,F,5,3443,1,electronics,50,5,3,1,1,1,international,1,express,low,balanced,only_recyclable,0,Leak-proof Compostable Container
885,A,Ship,2,2,161,2,medium,F,1,1642,1,food,14,12,30,0,0,0,domestic,0,express,medium,low_cost,no_restrictions,0,Corrugated Box + Paper Cushion
886,B,Ship,3,2,252,4,low,M,29,2353,1,books,58,49,32,1,1,0,domestic,1,standard,medium,max_sustainability,only_recyclable,0,Leak-proof Compostable Container
887,C,Ship,4,2,271,3,low,F,19,2693,1,cosmetics,54,7,13,0,1,1,international,0,standard,medium,balanced,no_restrictions,1,Leak-proof Compostable Container
888,F,Ship,5,3,150,3,medium,M,21,1187,1,food,51,32,14,1,1,1,domestic,1,express,low,low_cost,no_restrictions,1,Leak-proof Compostable Container
889,D,Ship,3,5,212,3,high,M,6,2069,1,clothing,18,6,7,0,0,1,local,1,standard,high,balanced,compostable_only,0,Insulated Compostable Food Pack
890,F,Ship,5,3,198,4,high,M,65,3407,1,cosmetics,46,35,23,0,1,1,domestic,1,express,high,max_sustainability,compostable_only,0,Leak-proof Compostable Container
891,A,Ship,3,4,266,2,high,F,33,3798,1,books,42,12,31,0,1,1,local,1,express,high,low_cost,only_recyclable,1,Leak-proof Compostable Container
892,B,Ship,3,4,255,4,low,F,12,2266,1,food,53,35,31,1,1,0,local,0,standard,low,max_sustainability,only_recyclable,1,Leak-proof Compostable Container
893,C,Ship,4,1,166,3,high,F,3,1453,1,glass_items,58,11,5,0,1,0,local,1,express,high,balanced,compostable_only,0,Leak-proof Compostable Container
894,F,Ship,3,2,232,2,low,F,39,2139,1,clothing,13,15,19,1,1,1,domestic,0,standard,low,max_sustainability,only_recyclable,0,Leak-proof Compostable Container
895,D,Ship,3,5,198,2,medium,F,62,3015,1,clothing,6,43,38,0,1,0,local,1,express,high,max_sustainability,no_restrictions,0,Leak-proof Compostable Container
896,F,Ship,4,3,170,3,low,F,21,1588,1,glass_items,30,15,28,1,1,0,local,0,express,medium,max_sustainability,compostable_only,0,Leak-proof Compostable Container
897,A,Ship,4,2,162,2,low,M,16,1014,1,books,19,28,19,0,0,0,domestic,1,standard,high,balanced,only_recyclable,1,100% Recyclable Cardboard Box
898,B,Ship,3,4,135,3,low,M,22,1378,1,clothing,29,29,19,1,1,0,local,0,standard,medium,max_sustainability,no_plastic,0,Leak-proof Compostable Container
899,C,Ship,3,5,242,3,medium,M,19,3753,1,cosmetics,9,35,24,1,0,1,international,1,standard,medium,balanced,no_plastic,1,Insulated Compostable Food Pack
900,F,Ship,4,3,206,3,medium,F,20,2247,1,cosmetics,38,19,17,1,0,0,domestic,0,express,low,low_cost,no_restrictions,1,Recycled Cardboard Box
901,D,Ship,5,5,253,6,medium,M,59,2627,1,books,50,46,19,1,1,1,international,1,express,medium,balanced,no_plastic,0,Leak-proof Compostable Container
902,F,Ship,5,3,208,3,medium,M,35,3884,1,books,31,28,30,0,0,0,international,0,express,high,low_cost,only_recyclable,1,100% Recyclable Cardboard Box
903,A,Ship,3,3,250,3,low,F,33,3463,1,cosmetics,10,43,21,1,1,1,domestic,0,express,low,balanced,no_restrictions,1,Leak-proof Compostable Container
904,B,Ship,4,1,143,2,medium,M,3,1996,1,clothing,8,20,17,1,0,1,international,0,express,low,low_cost,no_plastic,1,Insulated Compostable Food Pack
905,C,Ship,5,5,236,3,medium,F,62,3365,1,clothing,28,45,9,1,0,1,local,0,standard,high,balanced,compostable_only,0,Insulated Compostable Food Pack
906,F,Ship,4,4,147,3,low,M,13,1145,1,books,15,27,9,1,0,0,international,1,express,low,low_cost,compostable_only,1,Molded Pulp Tray + Corrugated Box
907,D,Ship,2,5,113,5,low,M,43,1638,1,books,36,37,19,1,1,1,local,1,express,medium,balanced,compostable_only,0,Leak-proof Compostable Container
908,F,Ship,5,1,165,2,high,M,54,1190,1,electronics,21,40,24,1,0,1,domestic,1,standard,medium,max_sustainability,only_recyclable,0,Insulated Compostable Food Pack
909,A,Ship,4,1,235,4,low,M,22,2066,1,cosmetics,6,34,20,1,0,1,local,0,standard,low,low_cost,no_restrictions,0,Insulated Compostable Food Pack
910,B,Ship,4,5,186,10,low,F,42,3521,1,books,35,11,12,1,0,0,local,1,express,low,balanced,no_restrictions,1,Molded Pulp Tray + Corrugated Box
911,C,Ship,4,2,274,10,medium,F,29,2949,1,electronics,54,34,35,0,0,0,domestic,1,express,high,low_cost,only_recyclable,1,100% Recyclable Cardboard Box
912,F,Ship,2,5,163,3,medium,F,37,1079,1,cosmetics,41,10,35,1,1,0,domestic,1,express,high,balanced,compostable_only,1,Leak-proof Compostable Container
913,D,Ship,4,4,161,3,low,F,6,1386,1,glass_items,47,32,4,0,1,1,domestic,0,standard,medium,max_sustainability,no_plastic,0,Leak-proof Compostable Container
914,F,Ship,4,4,264,2,low,M,35,2336,1,books,25,49,17,0,1,1,local,1,express,low,balanced,no_restrictions,1,Leak-proof Compostable Container
915,A,Ship,3,1,255,2,medium,M,42,3459,1,cosmetics,8,19,17,1,1,0,local,1,express,low,max_sustainability,compostable_only,1,Leak-proof Compostable Container
916,B,Ship,4,1,258,3,medium,M,3,3928,1,food,49,14,10,0,0,1,international,0,express,low,low_cost,only_recyclable,1,Insulated Compostable Food Pack
917,C,Ship,5,5,261,8,medium,M,39,2103,1,clothing,37,17,17,0,0,0,international,1,standard,high,balanced,compostable_only,1,Compostable Paper Wrap Pack
918,F,Ship,5,3,188,7,medium,M,3,3637,1,cosmetics,38,5,16,1,1,1,local,1,express,medium,low_cost,no_restrictions,1,Leak-proof Compostable Container
919,D,Ship,3,4,188,3,high,M,11,3072,1,books,24,30,34,0,1,1,local,1,express,high,low_cost,no_plastic,0,Leak-proof Compostable Container
920,F,Ship,3,2,160,10,medium,M,25,1548,1,clothing,14,27,39,0,0,0,local,1,standard,low,low_cost,compostable_only,0,Recycled Cardboard Box
921,A,Ship,3,2,214,2,low,M,26,3503,1,cosmetics,52,20,15,1,1,0,international,0,standard,high,balanced,no_restrictions,0,Leak-proof Compostable Container
922,B,Ship,4,4,209,8,medium,F,46,3345,1,food,39,38,14,1,0,1,international,1,express,low,max_sustainability,compostable_only,1,Insulated Compostable Food Pack
923,C,Ship,4,1,208,7,high,M,8,2193,1,books,48,37,10,0,0,0,domestic,1,standard,low,max_sustainability,no_restrictions,1,Molded Pulp Tray + Corrugated Box
924,F,Ship,3,3,265,4,low,M,47,2557,1,food,17,12,7,0,1,0,local,1,standard,high,balanced,only_recyclable,0,Leak-proof Compostable Container
925,D,Ship,4,1,161,2,high,F,41,1992,1,books,56,41,25,1,1,0,domestic,1,standard,medium,low_cost,compostable_only,1,Leak-proof Compostable Container
926,F,Ship,5,3,217,3,high,F,61,3067,1,food,17,20,35,1,1,1,local,0,standard,high,balanced,compostable_only,0,Leak-proof Compostable Container
927,A,Ship,3,1,210,2,low,F,52,2444,1,books,56,32,8,1,0,1,domestic,1,express,medium,low_cost,compostable_only,0,Insulated Compostable Food Pack
928,B,Ship,3,3,179,2,low,F,60,1808,1,glass_items,58,6,38,0,0,0,domestic,0,express,low,max_sustainability,compostable_only,0,Recycled Cardboard Box
929,C,Ship,3,2,180,4,medium,M,55,1165,1,books,20,48,30,1,0,1,domestic,1,express,medium,max_sustainability,no_plastic,0,Insulated Compostable Food Pack
930,F,Ship,3,3,153,5,low,F,12,1972,1,glass_items,38,47,31,0,1,1,domestic,0,standard,high,balanced,compostable_only,1,Leak-proof Compostable Container
931,D,Ship,4,3,162,2,low,M,2,1714,1,electronics,25,43,14,0,0,0,local,1,express,medium,balanced,no_restrictions,1,Corrugated Box + Paper Cushion
932,F,Ship,3,2,135,3,low,M,27,1898,1,food,14,14,35,1,0,0,international,0,express,medium,max_sustainability,no_plastic,0,Molded Pulp Tray + Corrugated Box
933,A,Road,3,5,242,3,medium,F,3,2268,1,glass_items,48,37,35,1,1,1,international,0,express,medium,low_cost,no_restrictions,0,Leak-proof Compostable Container
934,B,Road,4,4,206,3,medium,F,33,2804,1,glass_items,22,5,8,0,0,0,domestic,0,standard,high,low_cost,no_restrictions,0,Corrugated Box + Paper Cushion
935,C,Road,5,1,253,6,medium,M,12,2486,1,clothing,54,10,22,1,0,1,local,1,express,medium,max_sustainability,only_recyclable,0,Insulated Compostable Food Pack
936,F,Road,5,2,208,3,medium,M,8,3442,1,books,53,48,19,0,0,1,domestic,1,standard,low,balanced,no_restrictions,0,Insulated Compostable Food Pack
937,D,Road,3,2,250,3,low,F,49,3798,1,glass_items,27,10,24,1,0,1,local,1,standard,high,low_cost,compostable_only,1,Insulated Compostable Food Pack
938,F,Road,4,5,143,2,medium,F,20,1360,1,food,12,20,9,1,0,0,domestic,0,standard,low,low_cost,compostable_only,0,Recycled Cardboard Box
939,A,Road,5,3,236,3,medium,M,7,3589,1,food,45,39,22,0,0,1,domestic,1,standard,medium,max_sustainability,compostable_only,0,Insulated Compostable Food Pack
940,B,Road,4,1,147,3,low,F,15,1956,1,glass_items,16,5,25,0,1,0,domestic,1,standard,low,balanced,no_plastic,1,Leak-proof Compostable Container
941,C,Road,2,1,113,5,low,F,9,1957,1,cosmetics,23,13,3,1,0,0,local,1,standard,high,max_sustainability,no_plastic,1,Recycled Cardboard Box
942,F,Road,5,4,165,2,high,M,46,1482,1,cosmetics,24,27,12,0,0,1,local,1,standard,low,balanced,only_recyclable,0,Insulated Compostable Food Pack
943,D,Road,4,4,235,4,low,M,50,2020,1,glass_items,7,25,22,0,0,0,local,0,standard,medium,balanced,compostable_only,0,Compostable Paper Wrap Pack
944,F,Road,4,2,186,10,low,M,45,3722,1,electronics,54,40,11,0,1,1,international,0,express,high,max_sustainability,no_plastic,1,Leak-proof Compostable Container
945,A,Road,4,5,274,10,medium,F,5,3910,1,cosmetics,46,42,22,1,0,1,domestic,0,express,high,balanced,no_plastic,1,Insulated Compostable Food Pack
946,B,Road,2,2,163,3,medium,M,35,1547,1,glass_items,30,47,24,0,1,1,domestic,1,standard,low,max_sustainability,only_recyclable,0,Leak-proof Compostable Container
947,C,Road,4,2,161,3,low,F,22,1819,1,books,54,40,6,1,0,1,international,0,express,medium,balanced,no_plastic,1,Insulated Compostable Food Pack
948,F,Road,4,1,264,2,low,M,8,2436,1,books,27,39,3,1,1,0,local,1,standard,high,max_sustainability,compostable_only,0,Leak-proof Compostable Container
949,D,Road,3,3,255,2,medium,M,3,2894,1,food,23,25,28,1,0,1,domestic,1,standard,low,low_cost,no_restrictions,1,Insulated Compostable Food Pack
950,F,Road,4,1,258,3,medium,M,53,2428,1,food,17,9,31,0,0,0,domestic,1,standard,low,low_cost,no_plastic,0,Recycled Cardboard Box
951,A,Road,5,2,261,8,medium,F,1,3308,1,clothing,46,24,38,0,1,0,local,0,express,low,balanced,no_plastic,1,Leak-proof Compostable Container
952,B,Road,5,4,188,7,medium,F,48,2466,1,cosmetics,34,6,28,0,1,0,domestic,0,express,high,max_sustainability,compostable_only,1,Leak-proof Compostable Container
953,C,Road,3,5,188,3,high,F,9,3206,1,food,36,40,34,1,0,0,domestic,0,express,high,low_cost,no_plastic,1,Molded Pulp Tray + Corrugated Box
954,F,Road,3,1,160,10,medium,F,29,1952,1,electronics,33,43,10,0,1,0,domestic,0,express,low,low_cost,no_restrictions,0,Leak-proof Compostable Container
955,D,Flight,3,1,214,2,low,F,50,2720,1,food,35,15,27,0,0,1,local,1,standard,medium,low_cost,no_restrictions,0,Insulated Compostable Food Pack
956,F,Flight,4,5,209,8,medium,F,59,2948,1,cosmetics,16,21,30,0,0,0,domestic,0,standard,high,max_sustainability,only_recyclable,0,Recycled Cardboard Box
957,A,Flight,4,1,208,7,high,F,65,2674,1,glass_items,37,46,9,1,1,0,local,0,standard,low,low_cost,compostable_only,0,Leak-proof Compostable Container
958,B,Flight,3,1,265,4,low,M,50,2249,1,food,12,20,20,0,1,0,domestic,0,standard,low,low_cost,no_plastic,0,Leak-proof Compostable Container
959,C,Flight,4,1,161,2,high,F,21,1075,1,glass_items,45,21,33,1,1,1,international,0,standard,high,balanced,compostable_only,0,Leak-proof Compostable Container
960,F,Flight,5,2,217,3,high,M,21,2600,1,glass_items,43,5,23,1,0,0,international,0,express,medium,max_sustainability,no_plastic,1,Molded Pulp Tray + Corrugated Box
961,D,Flight,3,4,210,2,low,F,35,2741,1,clothing,51,44,18,0,1,1,domestic,0,standard,high,max_sustainability,no_restrictions,1,Leak-proof Compostable Container
962,F,Flight,3,3,179,2,low,F,62,1765,1,food,22,36,10,1,0,0,international,0,express,low,max_sustainability,no_restrictions,0,Molded Pulp Tray + Corrugated Box
963,A,Flight,3,2,180,4,medium,M,52,1329,1,books,35,15,35,0,0,0,domestic,0,express,low,low_cost,no_plastic,0,Recycled Cardboard Box
964,B,Flight,4,5,158,5,medium,F,55,1936,1,books,50,28,25,0,0,0,local,1,express,low,balanced,only_recyclable,0,100% Recyclable Cardboard Box
965,C,Flight,6,1,291,5,medium,F,53,1682,1,books,12,49,26,0,0,1,international,0,standard,medium,max_sustainability,no_plastic,1,Insulated Compostable Food Pack
966,F,Flight,5,2,231,2,medium,F,55,3894,1,books,32,26,39,1,0,0,international,1,express,medium,low_cost,no_restrictions,0,Molded Pulp Tray + Corrugated Box
967,D,Flight,4,5,163,4,low,F,49,1470,1,electronics,43,14,20,1,1,1,international,1,express,low,low_cost,compostable_only,0,Leak-proof Compostable Container
968,F,Flight,5,3,146,3,low,M,41,1204,1,cosmetics,43,15,16,1,1,1,international,0,standard,high,max_sustainability,only_recyclable,1,Leak-proof Compostable Container
969,A,Flight,2,5,272,2,low,M,24,3638,1,clothing,8,47,39,0,0,0,international,0,standard,high,max_sustainability,no_restrictions,0,Molded Pulp Tray + Corrugated Box
970,B,Flight,2,1,121,2,medium,F,18,1839,1,electronics,45,29,25,1,0,1,international,0,standard,medium,low_cost,only_recyclable,0,Insulated Compostable Food Pack
971,C,Flight,6,2,118,2,low,M,40,1014,1,food,6,16,34,1,0,0,local,0,standard,low,low_cost,no_restrictions,0,Recycled Cardboard Box
972,F,Flight,3,5,173,2,low,M,14,1638,1,cosmetics,31,25,15,1,1,1,local,1,standard,high,balanced,no_plastic,1,Leak-proof Compostable Container
973,D,Flight,4,5,243,2,low,M,23,2686,1,cosmetics,15,44,6,0,1,1,international,1,express,medium,balanced,no_restrictions,0,Leak-proof Compostable Container
974,F,Flight,5,4,229,3,medium,M,29,2505,1,books,34,49,24,0,1,0,local,0,standard,medium,low_cost,no_plastic,1,Leak-proof Compostable Container
975,A,Flight,5,3,96,4,medium,F,12,1655,1,electronics,55,47,18,0,0,0,international,0,express,low,max_sustainability,only_recyclable,1,Recycled Cardboard Box
976,B,Flight,5,5,249,3,medium,M,55,3558,1,glass_items,9,40,37,0,1,1,domestic,1,standard,medium,max_sustainability,only_recyclable,1,Leak-proof Compostable Container
977,C,Ship,3,2,165,2,low,F,24,1966,1,books,36,41,10,0,1,1,international,0,express,high,low_cost,no_plastic,0,Leak-proof Compostable Container
978,F,Ship,4,5,223,3,medium,F,63,2427,1,cosmetics,25,25,6,0,0,0,local,0,express,medium,balanced,no_plastic,1,Corrugated Box + Paper Cushion
979,D,Ship,3,3,267,2,low,F,52,2949,1,food,45,18,21,1,1,1,international,0,standard,low,balanced,no_plastic,1,Leak-proof Compostable Container
980,F,Ship,4,4,140,2,low,F,47,1831,1,books,52,13,18,1,0,0,local,0,express,medium,balanced,only_recyclable,0,100% Recyclable Cardboard Box
981,A,Ship,4,4,209,3,low,F,44,2075,1,food,32,10,33,1,0,0,international,1,standard,high,balanced,no_plastic,0,Molded Pulp Tray + Corrugated Box
982,B,Ship,3,5,243,3,medium,M,4,3189,1,clothing,59,29,14,0,1,1,local,1,express,medium,max_sustainability,only_recyclable,0,Leak-proof Compostable Container
983,C,Ship,3,2,175,4,medium,F,17,1276,1,cosmetics,5,35,15,1,0,0,international,0,express,low,balanced,no_plastic,0,Molded Pulp Tray + Corrugated Box
984,F,Ship,5,4,133,3,low,M,9,1051,1,food,55,21,3,0,1,0,domestic,1,standard,high,max_sustainability,no_plastic,1,Leak-proof Compostable Container
985,D,Ship,3,3,167,3,medium,F,24,1111,1,cosmetics,21,22,10,0,1,0,domestic,1,express,medium,low_cost,no_plastic,1,Leak-proof Compostable Container
986,F,Ship,6,1,172,6,high,F,50,1052,1,glass_items,23,37,27,1,0,0,international,0,express,low,low_cost,compostable_only,1,Molded Pulp Tray + Corrugated Box
987,A,Ship,5,4,257,2,low,M,55,2257,1,glass_items,51,11,19,0,0,0,international,1,express,low,low_cost,compostable_only,0,Recycled Cardboard Box
988,B,Ship,3,3,202,2,medium,M,39,3857,1,cosmetics,50,12,39,1,1,1,international,1,standard,high,max_sustainability,no_restrictions,1,Leak-proof Compostable Container
989,C,Ship,3,1,223,3,medium,F,31,3942,1,glass_items,46,32,2,1,0,0,local,1,express,low,low_cost,only_recyclable,0,Recycled Cardboard Box
990,F,Ship,3,2,182,2,low,F,40,2592,1,cosmetics,54,22,10,0,0,0,local,0,express,medium,balanced,no_restrictions,1,Corrugated Box + Paper Cushion
991,D,Ship,3,2,234,3,medium,M,33,2789,1,food,54,5,33,0,0,1,local,1,express,medium,balanced,no_plastic,0,Insulated Compostable Food Pack
992,F,Ship,3,5,140,3,low,F,30,1035,1,clothing,37,47,13,1,1,1,local,1,standard,high,max_sustainability,compostable_only,1,Leak-proof Compostable Container
993,A,Ship,4,3,136,3,medium,M,9,1548,1,electronics,29,37,6,1,0,1,domestic,0,express,high,balanced,no_restrictions,0,Insulated Compostable Food Pack
994,B,Ship,4,3,210,3,medium,F,6,2568,1,glass_items,58,21,26,1,1,1,local,1,express,high,max_sustainability,no_plastic,0,Leak-proof Compostable Container
995,C,Ship,5,1,259,3,high,F,37,3023,1,clothing,24,21,7,1,0,0,international,0,express,high,max_sustainability,no_restrictions,1,Molded Pulp Tray + Corrugated Box
996,F,Ship,4,2,141,2,medium,M,52,1012,1,books,18,8,9,1,1,1,domestic,0,standard,low,low_cost,no_plastic,1,Leak-proof Compostable Container
997,D,Ship,4,3,151,4,medium,M,13,1583,1,glass_items,14,18,24,1,1,1,domestic,0,standard,low,low_cost,no_restrictions,1,Leak-proof Compostable Container
998,F,Ship,3,5,164,3,medium,F,43,1423,1,glass_items,43,46,14,1,1,1,domestic,1,express,low,balanced,no_restrictions,1,Leak-proof Compostable Container
999,A,Ship,3,3,141,2,medium,F,48,1758,1,electronics,54,37,11,1,0,0,international,0,standard,high,max_sustainability,no_plastic,1,Molded Pulp Tray + Corrugated Box
1000,B,Ship,3,3,271,2,medium,M,15,3542,1,books,34,39,9,0,0,0,international,1,standard,medium,balanced,compostable_only,0,Compostable Paper Wrap Pack
1001,C,Ship,4,3,191,4,low,F,15,2544,1,electronics,32,44,30,1,0,0,international,1,express,low,max_sustainability,compostable_only,0,Molded Pulp Tray + Corrugated Box
1002,F,Ship,3,1,181,3,medium,M,22,3266,1,cosmetics,54,40,39,1,1,0,international,1,express,high,low_cost,compostable_only,0,Leak-proof Compostable Container
1003,D,Ship,3,3,241,5,low,M,8,2182,1,clothing,14,42,2,1,0,1,international,1,standard,high,max_sustainability,no_restrictions,1,Insulated Compostable Food Pack
1004,F,Ship,3,3,254,3,medium,M,3,2837,1,books,48,17,37,0,0,0,local,0,standard,high,balanced,compostable_only,1,Compostable Paper Wrap Pack
1005,A,Ship,3,2,146,6,medium,F,62,1162,1,clothing,29,44,6,0,0,0,local,0,express,high,balanced,no_plastic,0,Recycled Cardboard Box
1006,B,Ship,5,1,271,2,high,M,46,2744,1,glass_items,11,44,30,0,0,1,international,1,standard,low,low_cost,no_plastic,0,Insulated Compostable Food Pack
1007,C,Ship,3,1,185,2,medium,F,42,2803,1,clothing,27,13,12,0,1,1,international,1,standard,medium,max_sustainability,no_plastic,0,Leak-proof Compostable Container
1008,F,Ship,4,5,170,3,low,F,9,1138,1,electronics,56,39,18,1,1,0,domestic,0,standard,low,balanced,only_recyclable,0,Leak-proof Compostable Container
1009,D,Ship,4,1,265,2,medium,M,18,3327,1,electronics,50,17,10,0,0,0,local,1,express,medium,max_sustainability,only_recyclable,0,Molded Pulp Tray + Corrugated Box
1010,F,Ship,4,4,142,4,low,F,8,1777,1,glass_items,55,29,10,1,0,1,domestic,1,express,medium,max_sustainability,compostable_only,1,Insulated Compostable Food Pack
1011,A,Ship,2,5,228,2,low,F,49,3024,1,glass_items,50,43,15,0,0,1,international,0,express,high,max_sustainability,no_plastic,0,Insulated Compostable Food Pack
1012,B,Ship,4,5,262,4,low,M,16,2871,1,clothing,47,43,32,0,0,1,local,1,express,low,max_sustainability,only_recyclable,0,Insulated Compostable Food Pack
1013,C,Ship,3,3,205,2,medium,F,54,2427,1,books,11,24,10,0,1,0,local,1,standard,low,balanced,no_restrictions,1,Leak-proof Compostable Container
1014,F,Ship,4,1,178,2,high,M,39,1362,1,books,15,16,17,1,0,1,local,0,standard,high,low_cost,no_restrictions,0,Insulated Compostable Food Pack
1015,D,Ship,2,2,153,2,low,M,46,1130,1,food,34,46,33,1,0,0,international,0,express,high,low_cost,compostable_only,1,Molded Pulp Tray + Corrugated Box
1016,F,Ship,3,4,186,2,low,M,63,3447,1,food,12,49,4,1,1,1,international,0,express,high,max_sustainability,no_restrictions,1,Leak-proof Compostable Container
1017,A,Ship,4,1,167,3,high,F,22,1403,1,books,32,19,20,0,1,1,local,1,standard,medium,max_sustainability,compostable_only,1,Leak-proof Compostable Container
1018,B,Ship,3,3,148,2,low,M,42,1950,1,cosmetics,8,21,11,0,1,0,domestic,1,express,medium,max_sustainability,only_recyclable,1,Leak-proof Compostable Container
1019,C,Ship,3,2,167,2,low,M,2,1010,1,glass_items,32,32,23,1,1,0,domestic,0,standard,high,max_sustainability,compostable_only,1,Leak-proof Compostable Container
1020,F,Ship,3,2,261,5,medium,M,45,2488,1,glass_items,17,8,17,1,1,0,local,0,standard,high,low_cost,only_recyclable,0,Leak-proof Compostable Container
1021,D,Ship,3,4,166,3,medium,M,43,1095,1,glass_items,28,18,13,0,0,1,local,0,express,high,max_sustainability,only_recyclable,0,Insulated Compostable Food Pack
1022,F,Ship,3,1,226,2,low,M,18,2319,1,electronics,37,23,29,1,0,1,domestic,0,express,medium,low_cost,only_recyclable,1,Insulated Compostable Food Pack
1023,A,Ship,3,4,260,3,low,F,21,2003,1,glass_items,33,34,3,1,0,0,local,0,express,high,balanced,only_recyclable,0,100% Recyclable Cardboard Box
1024,B,Ship,5,1,246,3,medium,F,44,3993,1,food,34,16,37,0,1,1,international,1,express,low,balanced,no_plastic,1,Leak-proof Compostable Container
1025,C,Ship,3,2,221,3,low,F,21,3686,1,books,38,24,30,0,0,1,local,1,standard,medium,low_cost,only_recyclable,1,Insulated Compostable Food Pack
1026,F,Ship,5,4,191,4,medium,M,63,2039,1,glass_items,14,42,27,1,1,1,domestic,1,standard,medium,max_sustainability,only_recyclable,0,Leak-proof Compostable Container
1027,D,Ship,3,1,138,5,medium,F,8,1349,1,books,38,18,34,1,0,0,local,0,express,medium,max_sustainability,no_restrictions,0,Recycled Cardboard Box
1028,F,Ship,3,1,146,3,medium,M,16,1714,1,electronics,43,33,11,0,1,1,domestic,1,express,high,max_sustainability,no_restrictions,0,Leak-proof Compostable Container
1029,A,Ship,3,3,193,3,medium,M,11,3188,1,cosmetics,28,6,32,1,0,1,international,1,express,medium,max_sustainability,only_recyclable,1,Insulated Compostable Food Pack
1030,B,Ship,3,1,229,2,medium,F,12,3111,1,electronics,8,47,35,0,0,1,international,0,standard,low,low_cost,only_recyclable,1,Insulated Compostable Food Pack
1031,C,Ship,4,1,239,2,high,M,16,2504,1,electronics,9,26,33,0,0,1,international,1,standard,medium,max_sustainability,compostable_only,1,Insulated Compostable Food Pack
1032,F,Ship,6,2,103,4,medium,M,37,1093,1,food,50,18,10,1,0,1,international,1,standard,low,balanced,compostable_only,0,Insulated Compostable Food Pack
1033,D,Ship,5,4,254,5,low,F,36,2039,1,glass_items,17,44,16,1,0,1,domestic,0,standard,high,max_sustainability,only_recyclable,1,Insulated Compostable Food Pack
1034,F,Ship,2,2,198,2,low,M,11,3686,1,clothing,18,38,22,1,0,1,international,0,standard,high,balanced,no_restrictions,1,Insulated Compostable Food Pack
